"pca_id","pca_description","product_family","business_unit","technology_group"
"73-12652-01","PCBA,MBRD,CA,SF,SUNSET,2-DRIVE,FRONTPLANE","UCSB","SAVBU","SAVTG"
"73-9285-02","IP PHONE,SUPERCHARGE,MAIN BOARD","","",""
"73-15560-01","PCA,MBRD,Test card,DENALI-B25, Paddle card","","",""
"73-13323-01","PCA,MBRD,ISOLA, EVIA3, FABRIC CARD, Pb-free","","",""
"73-16760-02","PCA,DBRD,Interface Module,2x40G","ASR903","PABU","CTG"
"73-16645-01","PCA,DBRD,INSIEME,SHASTA,POWER_IF,LBC,MTP","","",""
"73-4606-01","PCA,SUB,MC28C,UBR","","",""
"73-16660-02","PCA,OTHER, Line card, 1x100G/2x40G","ASR903","PABU","CTG"
"73-15077-01","PCA,OTHER,,TELPRES,Display Port 1.2 Hub Ctrl,Bronze,System D","CTSIMS","CVEBU","CVTG"
"73-9555-01","PCA,SUB,CSC30,GSR12006","","",""
"73-16764-01","PCA,DBRD,Pescara-CB-100-CR DB Inphi Gearbox","","",""
"73-16763-01","PCA,MBRD,APEX,PESCARA-CB-100-CR,12PT 100G,DCE","","",""
"73-15509-01","PCA,DBRD,Frontpanel24","IE2000","IOTBU","ENGTG"
"73-15508-01","PCA,MBRD,Vortec24nFP","IE2000","IOTBU","ENGTG"
"73-15502-01","PCA,DBRD,Frontpanel8","IE2000","IOTBU","ENGTG"
"73-15779-02","PCA,DBRD,DC-2FXO, Operation Dynamo","ICV","SRGBU","ENGTG"
"73-9340-02","PCA,OTHER,MARS,PVDM,,DMODEM,24P","","",""
"73-9373-02","PCA,OTHER,MARS,PVDM,,DMODEM,36P","","",""
"73-8757-04","PCA, PVDM-II, MSC8101, SOLO","","",""
"73-2832-04","PCA,SUB,SWITCH FC,COUGAR","","",""
"73-13235-02","PCA,MBRD,VE Fan Tray,CRS-16,HFR","","",""
"73-15158-03","PCA,DBRD,TERMINATOR,DAUGHTERCARD,CYBERDYNE","C6800FD","EBBU","ENGTG"
"73-13501-02","PCA,OTHER,SUB,MOD,BP-ID,HFR,Pb-FREE","CRS","CORBU","CTG"
"73-17834-01","New Test board for Colusa 2.","","",""
"73-14960-02","PCA,DBRD,N7K, AGNI, Camphor","EMBUNAM","ECMBU","NMTG"
"73-1673-06","PCA,SUB,CIP-II w/RENO4","","",""
"73-100198-01","PCA, Sendai Pan Encoder Board","","",""
"73-100044-01","PCA,  SO-DIMM Test Card","","",""
"73-100029-01","PCA,  Vogon S1 Daughtercard Test Fixture","","",""
"73-17493-02","PCA,DBRD, TOR, DBRD, GRENOBLE DAUGHTER BOARD","N9500","INSBU","INSTG"
"73-15966-01","PCA,MBRD,PORTER CR,FULLERS48","C2960X","UABU","ENGTG"
"73-15967-01","PCA,MBRD,PORTER CR,FULLERS24 POWER","C2960X","UABU","ENGTG"
"73-15968-01","PCA,MBRD,PORTER CR,FULLERS24","C2960X","UABU","ENGTG"
"73-10179-01","PCA,3200,HMARC,All-in-One,GE/GE","3200","IOTBU","ENGTG"
"73-8170-02","PCA,DC-2-622-128","","",""
"73-14374-01","PCA,DBRD,SAN MATEO PS EXTENSION CARD","","",""
"73-11609-02","PCA,OTHER,Audio extension board, Absolute power","CTSIMS","CVEBU","CVTG"
"73-3069-01","PCA,SUB,RAZOR,TEST FIXTURE","","",""
"73-17835-01","PCA,SKYTREE, INDOOR","","",""
"73-17839-01","PCA, SKYTREE, OUTDOOR","","",""
"73-10146-01","PCA,ROCKATANSKY","","",""
"73-2274-01E6","PCA,SUB,PA-ATM-OC3SM-CES-E1BNC","7000CMN","SRGBU","ENGTG"
"73-5063-01","PCA,SUB,MC3810-BVM4-NT/TE","","",""
"73-204170","PCA,SUB,DTI7UB","","",""
"73-13200-01","PCA,BKPLN,OBELIX,FULLIAUTOMATIX","","",""
"73-2692-02","PCA,SUB,UXM Jumper","","",""
"73-12379-02","PCA,DBRD,C4,CHALIS,4x40GE/16x10GE,w/CTS","C6000","EBBU","ENGTG"
"73-15208-01","PCA,DBRD,LONGBOARD_RX","","",""
"73-14236-03","ACQ,ASR5500 Fabric and Storage Card (FSC)","","",""
"73-7666-01","PCA,Olympus SDE","","",""
"73-8339-06","PCA,VEGAS,EXCALIBUR FAN CONTROLLER","","",""
